pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
30,0,ble,29,1.000,0,63,31,38.750,per_ce,"[29,30]",0,NA,NA,NA,NA,NA,11,32,40.000,3,3.750,true,17,2,0.941,64,"[0,1,31,32,33,63]"
31,0,ble,8,1.000,0,63,-1,-1.250,per_ce,"[3,12]",0,NA,NA,NA,NA,NA,20,32,40.000,6,7.500,true,NA,NA,NA,64,[]
32,0,ble,16,3.000,0,63,2,2.500,per_ce,"[14,19,24,29]",0,NA,NA,NA,NA,NA,2,16,20.000,2,2.500,true,37,7,0.848,64,"[2,3,18,19,34,35,50,51]"
33,0,ble,34,3.000,0,63,2,2.500,per_ce,"[34,35,36,0]",0,NA,NA,NA,NA,NA,6,16,20.000,4,5.000,true,37,7,0.848,64,"[2,3,4,5,18,19,20,21,34,35,36,37,50,51,52,53]"
34,0,ble,32,1.000,0,63,-1,-1.250,per_ce,"[32,33,34,35,36,0,1,2]",0,NA,NA,NA,NA,NA,1,8,10.000,6,7.500,true,NA,NA,NA,64,[]
35,0,ble,2,2.000,0,63,3,3.750,per_ce,[3],0,NA,NA,NA,NA,NA,5,64,80.000,5,6.250,true,37,4,0.921,64,"[3,4,5,6,7]"
36,0,ble,33,1.000,0,63,2,2.500,per_ce,"[35,3,8,13,18,23,28,33]",0,NA,NA,NA,NA,NA,2,8,10.000,2,2.500,true,37,7,0.848,64,"[2,3,10,11,18,19,26,27,34,35,42,43,50,51,58,59]"
37,0,ble,2,1.000,0,63,19,23.750,per_ce,"[9,18]",0,NA,NA,NA,NA,NA,0,32,40.000,3,3.750,true,37,1,1.000,64,"[19,20,21,51,52,53]"
38,0,ble,12,1.000,0,63,17,21.250,per_ce,[21],0,NA,NA,NA,NA,NA,19,64,80.000,6,7.500,true,27,2,0.963,64,"[17,18,19,20,21,22]"
39,0,ble,26,1.000,0,63,11,13.750,per_ce,"[26,27,28,29]",0,NA,NA,NA,NA,NA,5,16,20.000,6,7.500,true,27,1,1.000,64,"[0,11,12,13,14,15,16,27,28,29,30,31,32,43,44,45,46,47,48,59,60,61,62,63]"
40,0,wifi,5,3.000,0,63,4,5.000,per_ce,NA,0,18,32,40.000,8,10.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[4,5,6,7,8,9,10,11,36,37,38,39,40,41,42,43]"
41,0,ble,30,1.000,0,63,10,12.500,per_ce,"[30,31]",0,NA,NA,NA,NA,NA,10,32,40.000,5,6.250,true,27,2,0.963,64,"[10,11,12,13,14,42,43,44,45,46]"
42,0,ble,2,1.000,0,63,-1,-1.250,per_ce,"[10,15,20,25,30,35,3,8]",0,NA,NA,NA,NA,NA,1,8,10.000,5,6.250,true,NA,NA,NA,64,[]
43,0,ble,35,2.000,0,63,4,5.000,per_ce,[35],0,NA,NA,NA,NA,NA,56,64,80.000,5,6.250,true,27,3,0.927,64,"[4,5,6,7,8]"
44,0,ble,35,1.000,0,63,-1,-1.250,per_ce,"[35,36,0,1,2,3,4,5]",0,NA,NA,NA,NA,NA,2,8,10.000,5,6.250,true,NA,NA,NA,64,[]
45,0,ble,14,3.000,0,63,18,22.500,per_ce,[0],0,NA,NA,NA,NA,NA,1,64,80.000,4,5.000,true,37,2,0.973,64,"[18,19,20,21]"
46,0,wifi,5,2.000,0,63,28,35.000,per_ce,NA,0,24,32,40.000,6,7.500,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[0,1,28,29,30,31,32,33,60,61,62,63]"
47,0,wifi,0,1.000,0,63,22,27.500,per_ce,NA,0,14,32,40.000,7,8.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[22,23,24,25,26,27,28,54,55,56,57,58,59,60]"
48,0,ble,10,2.000,0,63,8,10.000,per_ce,"[24,29]",0,NA,NA,NA,NA,NA,8,32,40.000,5,6.250,true,27,2,0.963,64,"[8,9,10,11,12,40,41,42,43,44]"
