pair_id,radio,channel,slot,slot_width,freq_low_mhz,freq_high_mhz,label
13,ble,15,46,NA,2435.000,2437.000,13 B-ch15 ev1
13,ble,15,47,NA,2435.000,2437.000,13 B-ch15 ev1
13,ble,15,48,NA,2435.000,2437.000,13 B-ch15 ev1
14,ble,5,56,NA,2413.000,2415.000,14 B-ch5 ev0
14,ble,5,57,NA,2413.000,2415.000,14 B-ch5 ev0
14,ble,5,58,NA,2413.000,2415.000,14 B-ch5 ev0
14,ble,5,59,NA,2413.000,2415.000,14 B-ch5 ev0
14,ble,5,60,NA,2413.000,2415.000,14 B-ch5 ev0
14,ble,5,61,NA,2413.000,2415.000,14 B-ch5 ev0
15,ble,27,60,NA,2459.000,2461.000,15 B-ch27 ev0
15,ble,27,61,NA,2459.000,2461.000,15 B-ch27 ev0
15,ble,27,62,NA,2459.000,2461.000,15 B-ch27 ev0
15,ble,27,63,NA,2459.000,2461.000,15 B-ch27 ev0
15,ble,27,0,NA,2459.000,2461.000,15 B-ch27 ev0
16,ble,27,29,NA,2459.000,2461.000,16 B-ch27 ev0
16,ble,27,30,NA,2459.000,2461.000,16 B-ch27 ev0
16,ble,27,31,NA,2459.000,2461.000,16 B-ch27 ev0
16,ble,27,32,NA,2459.000,2461.000,16 B-ch27 ev0
16,ble,32,61,NA,2469.000,2471.000,16 B-ch32 ev1
16,ble,32,62,NA,2469.000,2471.000,16 B-ch32 ev1
16,ble,32,63,NA,2469.000,2471.000,16 B-ch32 ev1
16,ble,32,0,NA,2469.000,2471.000,16 B-ch32 ev1
19,ble,29,0,NA,2463.000,2465.000,19 B-ch29 ev0
19,ble,1,16,NA,2405.000,2407.000,19 B-ch1 ev1
19,ble,10,32,NA,2423.000,2425.000,19 B-ch10 ev2
19,ble,19,48,NA,2443.000,2445.000,19 B-ch19 ev3
20,ble,28,25,NA,2461.000,2463.000,20 B-ch28 ev0
20,ble,28,26,NA,2461.000,2463.000,20 B-ch28 ev0
20,ble,28,27,NA,2461.000,2463.000,20 B-ch28 ev0
20,ble,28,28,NA,2461.000,2463.000,20 B-ch28 ev0
20,ble,28,29,NA,2461.000,2463.000,20 B-ch28 ev0
20,ble,28,30,NA,2461.000,2463.000,20 B-ch28 ev0
20,ble,33,57,NA,2471.000,2473.000,20 B-ch33 ev1
20,ble,33,58,NA,2471.000,2473.000,20 B-ch33 ev1
20,ble,33,59,NA,2471.000,2473.000,20 B-ch33 ev1
20,ble,33,60,NA,2471.000,2473.000,20 B-ch33 ev1
20,ble,33,61,NA,2471.000,2473.000,20 B-ch33 ev1
20,ble,33,62,NA,2471.000,2473.000,20 B-ch33 ev1
23,ble,20,24,NA,2445.000,2447.000,23 B-ch20 ev0
23,ble,20,25,NA,2445.000,2447.000,23 B-ch20 ev0
23,ble,20,26,NA,2445.000,2447.000,23 B-ch20 ev0
23,ble,21,56,NA,2447.000,2449.000,23 B-ch21 ev1
23,ble,21,57,NA,2447.000,2449.000,23 B-ch21 ev1
23,ble,21,58,NA,2447.000,2449.000,23 B-ch21 ev1
25,wifi,5,1,NA,2427.000,2447.000,25 W-ch5
25,wifi,5,2,NA,2427.000,2447.000,25 W-ch5
25,wifi,5,3,NA,2427.000,2447.000,25 W-ch5
25,wifi,5,4,NA,2427.000,2447.000,25 W-ch5
25,wifi,5,5,NA,2427.000,2447.000,25 W-ch5
25,wifi,5,33,NA,2427.000,2447.000,25 W-ch5
25,wifi,5,34,NA,2427.000,2447.000,25 W-ch5
25,wifi,5,35,NA,2427.000,2447.000,25 W-ch5
25,wifi,5,36,NA,2427.000,2447.000,25 W-ch5
25,wifi,5,37,NA,2427.000,2447.000,25 W-ch5
26,ble,25,13,NA,2455.000,2457.000,26 B-ch25 ev0
26,ble,25,14,NA,2455.000,2457.000,26 B-ch25 ev0
26,ble,25,15,NA,2455.000,2457.000,26 B-ch25 ev0
26,ble,25,16,NA,2455.000,2457.000,26 B-ch25 ev0
26,ble,25,17,NA,2455.000,2457.000,26 B-ch25 ev0
26,ble,25,18,NA,2455.000,2457.000,26 B-ch25 ev0
26,ble,26,29,NA,2457.000,2459.000,26 B-ch26 ev1
26,ble,26,30,NA,2457.000,2459.000,26 B-ch26 ev1
26,ble,26,31,NA,2457.000,2459.000,26 B-ch26 ev1
26,ble,26,32,NA,2457.000,2459.000,26 B-ch26 ev1
26,ble,26,33,NA,2457.000,2459.000,26 B-ch26 ev1
26,ble,26,34,NA,2457.000,2459.000,26 B-ch26 ev1
26,ble,27,45,NA,2459.000,2461.000,26 B-ch27 ev2
26,ble,27,46,NA,2459.000,2461.000,26 B-ch27 ev2
26,ble,27,47,NA,2459.000,2461.000,26 B-ch27 ev2
26,ble,27,48,NA,2459.000,2461.000,26 B-ch27 ev2
26,ble,27,49,NA,2459.000,2461.000,26 B-ch27 ev2
26,ble,27,50,NA,2459.000,2461.000,26 B-ch27 ev2
26,ble,28,61,NA,2461.000,2463.000,26 B-ch28 ev3
26,ble,28,62,NA,2461.000,2463.000,26 B-ch28 ev3
26,ble,28,63,NA,2461.000,2463.000,26 B-ch28 ev3
26,ble,28,0,NA,2461.000,2463.000,26 B-ch28 ev3
26,ble,28,1,NA,2461.000,2463.000,26 B-ch28 ev3
26,ble,28,2,NA,2461.000,2463.000,26 B-ch28 ev3
27,ble,27,4,NA,2459.000,2461.000,27 B-ch27 ev0
27,ble,27,5,NA,2459.000,2461.000,27 B-ch27 ev0
27,ble,27,6,NA,2459.000,2461.000,27 B-ch27 ev0
27,ble,27,7,NA,2459.000,2461.000,27 B-ch27 ev0
27,ble,27,8,NA,2459.000,2461.000,27 B-ch27 ev0
28,ble,5,15,NA,2413.000,2415.000,28 B-ch5 ev0
28,ble,6,31,NA,2415.000,2417.000,28 B-ch6 ev1
28,ble,7,47,NA,2417.000,2419.000,28 B-ch7 ev2
28,ble,8,63,NA,2419.000,2421.000,28 B-ch8 ev3
29,ble,32,4,NA,2469.000,2471.000,29 B-ch32 ev0
29,ble,32,5,NA,2469.000,2471.000,29 B-ch32 ev0
29,ble,32,6,NA,2469.000,2471.000,29 B-ch32 ev0
29,ble,32,7,NA,2469.000,2471.000,29 B-ch32 ev0
29,ble,32,8,NA,2469.000,2471.000,29 B-ch32 ev0
30,ble,29,1,NA,2463.000,2465.000,30 B-ch29 ev0
30,ble,29,2,NA,2463.000,2465.000,30 B-ch29 ev0
30,ble,29,3,NA,2463.000,2465.000,30 B-ch29 ev0
30,ble,30,33,NA,2465.000,2467.000,30 B-ch30 ev1
30,ble,30,34,NA,2465.000,2467.000,30 B-ch30 ev1
30,ble,30,35,NA,2465.000,2467.000,30 B-ch30 ev1
33,ble,34,6,NA,2473.000,2475.000,33 B-ch34 ev0
33,ble,34,7,NA,2473.000,2475.000,33 B-ch34 ev0
33,ble,34,8,NA,2473.000,2475.000,33 B-ch34 ev0
33,ble,34,9,NA,2473.000,2475.000,33 B-ch34 ev0
33,ble,35,22,NA,2475.000,2477.000,33 B-ch35 ev1
33,ble,35,23,NA,2475.000,2477.000,33 B-ch35 ev1
33,ble,35,24,NA,2475.000,2477.000,33 B-ch35 ev1
33,ble,35,25,NA,2475.000,2477.000,33 B-ch35 ev1
33,ble,36,38,NA,2477.000,2479.000,33 B-ch36 ev2
33,ble,36,39,NA,2477.000,2479.000,33 B-ch36 ev2
33,ble,36,40,NA,2477.000,2479.000,33 B-ch36 ev2
33,ble,36,41,NA,2477.000,2479.000,33 B-ch36 ev2
33,ble,0,54,NA,2403.000,2405.000,33 B-ch0 ev3
33,ble,0,55,NA,2403.000,2405.000,33 B-ch0 ev3
33,ble,0,56,NA,2403.000,2405.000,33 B-ch0 ev3
33,ble,0,57,NA,2403.000,2405.000,33 B-ch0 ev3
35,ble,3,60,NA,2409.000,2411.000,35 B-ch3 ev0
35,ble,3,61,NA,2409.000,2411.000,35 B-ch3 ev0
35,ble,3,62,NA,2409.000,2411.000,35 B-ch3 ev0
35,ble,3,63,NA,2409.000,2411.000,35 B-ch3 ev0
35,ble,3,0,NA,2409.000,2411.000,35 B-ch3 ev0
37,ble,5,25,NA,2413.000,2415.000,37 B-ch5 ev0
37,ble,5,26,NA,2413.000,2415.000,37 B-ch5 ev0
37,ble,5,27,NA,2413.000,2415.000,37 B-ch5 ev0
37,ble,10,57,NA,2423.000,2425.000,37 B-ch10 ev1
37,ble,10,58,NA,2423.000,2425.000,37 B-ch10 ev1
37,ble,10,59,NA,2423.000,2425.000,37 B-ch10 ev1
38,ble,21,14,NA,2447.000,2449.000,38 B-ch21 ev0
38,ble,21,15,NA,2447.000,2449.000,38 B-ch21 ev0
38,ble,21,16,NA,2447.000,2449.000,38 B-ch21 ev0
38,ble,21,17,NA,2447.000,2449.000,38 B-ch21 ev0
38,ble,21,18,NA,2447.000,2449.000,38 B-ch21 ev0
38,ble,21,19,NA,2447.000,2449.000,38 B-ch21 ev0
39,ble,26,1,NA,2457.000,2459.000,39 B-ch26 ev0
39,ble,26,2,NA,2457.000,2459.000,39 B-ch26 ev0
39,ble,26,3,NA,2457.000,2459.000,39 B-ch26 ev0
39,ble,26,4,NA,2457.000,2459.000,39 B-ch26 ev0
39,ble,26,5,NA,2457.000,2459.000,39 B-ch26 ev0
39,ble,26,6,NA,2457.000,2459.000,39 B-ch26 ev0
39,ble,27,17,NA,2459.000,2461.000,39 B-ch27 ev1
39,ble,27,18,NA,2459.000,2461.000,39 B-ch27 ev1
39,ble,27,19,NA,2459.000,2461.000,39 B-ch27 ev1
39,ble,27,20,NA,2459.000,2461.000,39 B-ch27 ev1
39,ble,27,21,NA,2459.000,2461.000,39 B-ch27 ev1
39,ble,27,22,NA,2459.000,2461.000,39 B-ch27 ev1
39,ble,28,33,NA,2461.000,2463.000,39 B-ch28 ev2
39,ble,28,34,NA,2461.000,2463.000,39 B-ch28 ev2
39,ble,28,35,NA,2461.000,2463.000,39 B-ch28 ev2
39,ble,28,36,NA,2461.000,2463.000,39 B-ch28 ev2
39,ble,28,37,NA,2461.000,2463.000,39 B-ch28 ev2
39,ble,28,38,NA,2461.000,2463.000,39 B-ch28 ev2
39,ble,29,49,NA,2463.000,2465.000,39 B-ch29 ev3
39,ble,29,50,NA,2463.000,2465.000,39 B-ch29 ev3
39,ble,29,51,NA,2463.000,2465.000,39 B-ch29 ev3
39,ble,29,52,NA,2463.000,2465.000,39 B-ch29 ev3
39,ble,29,53,NA,2463.000,2465.000,39 B-ch29 ev3
39,ble,29,54,NA,2463.000,2465.000,39 B-ch29 ev3
40,wifi,5,6,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,7,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,8,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,9,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,10,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,11,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,12,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,13,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,38,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,39,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,40,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,41,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,42,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,43,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,44,NA,2427.000,2447.000,40 W-ch5
40,wifi,5,45,NA,2427.000,2447.000,40 W-ch5
41,ble,30,10,NA,2465.000,2467.000,41 B-ch30 ev0
41,ble,30,11,NA,2465.000,2467.000,41 B-ch30 ev0
41,ble,30,12,NA,2465.000,2467.000,41 B-ch30 ev0
41,ble,30,13,NA,2465.000,2467.000,41 B-ch30 ev0
41,ble,30,14,NA,2465.000,2467.000,41 B-ch30 ev0
41,ble,31,42,NA,2467.000,2469.000,41 B-ch31 ev1
41,ble,31,43,NA,2467.000,2469.000,41 B-ch31 ev1
41,ble,31,44,NA,2467.000,2469.000,41 B-ch31 ev1
41,ble,31,45,NA,2467.000,2469.000,41 B-ch31 ev1
41,ble,31,46,NA,2467.000,2469.000,41 B-ch31 ev1
43,ble,35,4,NA,2475.000,2477.000,43 B-ch35 ev0
43,ble,35,5,NA,2475.000,2477.000,43 B-ch35 ev0
43,ble,35,6,NA,2475.000,2477.000,43 B-ch35 ev0
43,ble,35,7,NA,2475.000,2477.000,43 B-ch35 ev0
43,ble,35,8,NA,2475.000,2477.000,43 B-ch35 ev0
45,ble,14,55,NA,2433.000,2435.000,45 B-ch14 ev0
45,ble,14,56,NA,2433.000,2435.000,45 B-ch14 ev0
45,ble,14,57,NA,2433.000,2435.000,45 B-ch14 ev0
45,ble,14,58,NA,2433.000,2435.000,45 B-ch14 ev0
46,wifi,5,0,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,27,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,28,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,29,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,30,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,31,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,32,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,59,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,60,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,61,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,62,NA,2427.000,2447.000,46 W-ch5
46,wifi,5,63,NA,2427.000,2447.000,46 W-ch5
47,wifi,0,6,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,7,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,8,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,9,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,10,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,11,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,12,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,38,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,39,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,40,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,41,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,42,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,43,NA,2402.000,2422.000,47 W-ch0
47,wifi,0,44,NA,2402.000,2422.000,47 W-ch0
48,ble,24,7,NA,2453.000,2455.000,48 B-ch24 ev0
48,ble,24,8,NA,2453.000,2455.000,48 B-ch24 ev0
48,ble,24,9,NA,2453.000,2455.000,48 B-ch24 ev0
48,ble,24,10,NA,2453.000,2455.000,48 B-ch24 ev0
48,ble,24,11,NA,2453.000,2455.000,48 B-ch24 ev0
48,ble,29,39,NA,2463.000,2465.000,48 B-ch29 ev1
48,ble,29,40,NA,2463.000,2465.000,48 B-ch29 ev1
48,ble,29,41,NA,2463.000,2465.000,48 B-ch29 ev1
48,ble,29,42,NA,2463.000,2465.000,48 B-ch29 ev1
48,ble,29,43,NA,2463.000,2465.000,48 B-ch29 ev1
-2,ble_adv_idle,-1,0,64,2401.000,2403.000,BLE adv idle 2402 MHz
-2,ble_adv_idle,-1,0,64,2425.000,2427.000,BLE adv idle 2426 MHz
-2,ble_adv_idle,-1,0,64,2479.000,2481.000,BLE adv idle 2480 MHz
