pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
26,0,ble,25,1.000,0,63,13,16.250,per_ce,"[25,26,27,28]",0,NA,NA,NA,NA,NA,5,16,20.000,6,7.500,true,27,1,1.000,64,"[0,1,2,13,14,15,16,17,18,29,30,31,32,33,34,45,46,47,48,49,50,61,62,63]"
27,0,ble,27,1.000,0,63,4,5.000,per_ce,[27],0,NA,NA,NA,NA,NA,44,64,80.000,5,6.250,true,17,5,0.785,64,"[4,5,6,7,8]"
28,0,ble,5,1.000,0,63,15,18.750,per_ce,"[5,6,7,8]",0,NA,NA,NA,NA,NA,5,16,20.000,1,1.250,true,37,1,1.000,64,"[15,31,47,63]"
29,0,ble,32,2.000,0,63,4,5.000,per_ce,[32],0,NA,NA,NA,NA,NA,21,64,80.000,5,6.250,true,17,5,0.785,64,"[4,5,6,7,8]"
30,0,ble,29,1.000,0,63,1,1.250,per_ce,"[29,30]",0,NA,NA,NA,NA,NA,11,32,40.000,3,3.750,true,17,3,0.886,64,"[1,2,3,33,34,35]"
31,0,ble,8,1.000,0,63,-1,-1.250,per_ce,"[3,12]",0,NA,NA,NA,NA,NA,20,32,40.000,6,7.500,true,NA,NA,NA,64,[]
32,0,ble,16,3.000,0,63,-1,-1.250,per_ce,"[14,19,24,29]",0,NA,NA,NA,NA,NA,2,16,20.000,2,2.500,true,NA,NA,NA,64,[]
33,0,ble,34,3.000,0,63,6,7.500,per_ce,"[34,35,36,0]",0,NA,NA,NA,NA,NA,6,16,20.000,4,5.000,true,17,1,1.000,64,"[6,7,8,9,22,23,24,25,38,39,40,41,54,55,56,57]"
34,0,ble,32,1.000,0,63,-1,-1.250,per_ce,"[33,5,14,23,32,4,13,22]",0,NA,NA,NA,NA,NA,1,8,10.000,6,7.500,true,NA,NA,NA,64,[]
35,0,ble,2,2.000,0,63,60,75.000,per_ce,[3],0,NA,NA,NA,NA,NA,5,64,80.000,5,6.250,true,27,2,0.963,64,"[0,60,61,62,63]"
36,0,ble,33,1.000,0,63,-1,-1.250,per_ce,"[35,3,8,13,18,23,28,33]",0,NA,NA,NA,NA,NA,2,8,10.000,2,2.500,true,NA,NA,NA,64,[]
37,0,ble,2,1.000,0,63,25,31.250,per_ce,"[5,10]",0,NA,NA,NA,NA,NA,0,32,40.000,3,3.750,true,37,2,0.973,64,"[25,26,27,57,58,59]"
38,0,ble,12,1.000,0,63,14,17.500,per_ce,[21],0,NA,NA,NA,NA,NA,19,64,80.000,6,7.500,true,37,3,0.947,64,"[14,15,16,17,18,19]"
39,0,ble,26,1.000,0,63,1,1.250,per_ce,"[26,27,28,29]",0,NA,NA,NA,NA,NA,5,16,20.000,6,7.500,true,17,3,0.886,64,"[1,2,3,4,5,6,17,18,19,20,21,22,33,34,35,36,37,38,49,50,51,52,53,54]"
40,0,wifi,5,3.000,0,63,6,7.500,per_ce,NA,0,18,32,40.000,8,10.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[6,7,8,9,10,11,12,13,38,39,40,41,42,43,44,45]"
41,0,ble,30,1.000,0,63,10,12.500,per_ce,"[30,31]",0,NA,NA,NA,NA,NA,10,32,40.000,5,6.250,true,17,1,1.000,64,"[10,11,12,13,14,42,43,44,45,46]"
42,0,ble,2,1.000,0,63,-1,-1.250,per_ce,"[10,15,20,25,30,35,3,8]",0,NA,NA,NA,NA,NA,1,8,10.000,5,6.250,true,NA,NA,NA,64,[]
43,0,ble,35,2.000,0,63,4,5.000,per_ce,[35],0,NA,NA,NA,NA,NA,56,64,80.000,5,6.250,true,17,5,0.785,64,"[4,5,6,7,8]"
44,0,ble,35,1.000,0,63,-1,-1.250,per_ce,"[35,36,0,1,2,3,4,5]",0,NA,NA,NA,NA,NA,2,8,10.000,5,6.250,true,NA,NA,NA,64,[]
45,0,ble,14,3.000,0,63,55,68.750,per_ce,[14],0,NA,NA,NA,NA,NA,1,64,80.000,4,5.000,true,37,2,0.973,64,"[55,56,57,58]"
46,0,wifi,5,2.000,0,63,27,33.750,per_ce,NA,0,24,32,40.000,6,7.500,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[0,27,28,29,30,31,32,59,60,61,62,63]"
47,0,wifi,0,1.000,0,63,6,7.500,per_ce,NA,0,14,32,40.000,7,8.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[6,7,8,9,10,11,12,38,39,40,41,42,43,44]"
48,0,ble,10,2.000,0,63,7,8.750,per_ce,"[24,29]",0,NA,NA,NA,NA,NA,8,32,40.000,5,6.250,true,17,1,1.000,64,"[7,8,9,10,11,39,40,41,42,43]"
