pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
27,0,ble,27,2.000,0,63,3,3.750,per_ce,[27],0,NA,NA,NA,NA,NA,2,64,80.000,6,7.500,true,17,2,0.941,64,"[3,4,5,6,7,8]"
28,0,ble,5,2.000,0,63,26,32.500,per_ce,"[31,3]",0,NA,NA,NA,NA,NA,22,32,40.000,6,7.500,true,37,3,0.947,64,"[26,27,28,29,30,31,58,59,60,61,62,63]"
29,0,ble,32,3.000,0,63,9,11.250,per_ce,[27],0,NA,NA,NA,NA,NA,39,64,80.000,5,6.250,true,17,1,1.000,64,"[9,10,11,12,13]"
30,0,ble,29,1.000,0,63,0,0.000,per_ce,"[29,30]",0,NA,NA,NA,NA,NA,0,32,40.000,4,5.000,true,17,1,1.000,64,"[0,1,2,3,32,33,34,35]"
31,0,ble,8,2.000,0,63,26,32.500,per_ce,"[3,12]",0,NA,NA,NA,NA,NA,2,32,40.000,1,1.250,true,37,3,0.947,64,"[26,58]"
32,0,ble,16,2.000,0,63,57,71.250,per_ce,[16],0,NA,NA,NA,NA,NA,36,64,80.000,1,1.250,true,37,2,0.973,64,[57]
33,0,ble,34,1.000,0,63,30,37.500,per_ce,"[33,1]",0,NA,NA,NA,NA,NA,30,32,40.000,1,1.250,true,27,1,1.000,64,"[30,62]"
34,0,ble,32,3.000,0,63,-1,-1.250,per_ce,"[32,0,5,10]",0,NA,NA,NA,NA,NA,12,16,20.000,4,5.000,true,NA,NA,NA,64,[]
35,0,ble,2,1.000,0,63,-1,-1.250,per_ce,"[5,14,23,32,4,13,22,31]",0,NA,NA,NA,NA,NA,6,8,10.000,1,1.250,true,NA,NA,NA,64,[]
36,0,ble,33,1.000,0,63,-1,-1.250,per_ce,"[1,10,19,28]",0,NA,NA,NA,NA,NA,11,16,20.000,5,6.250,true,NA,NA,NA,64,[]
37,0,ble,2,1.000,0,63,14,17.500,per_ce,"[2,3,4,5]",0,NA,NA,NA,NA,NA,10,16,20.000,1,1.250,true,37,2,0.973,64,"[14,30,46,62]"
38,0,ble,12,2.000,0,63,57,71.250,per_ce,[12],0,NA,NA,NA,NA,NA,16,64,80.000,1,1.250,true,37,2,0.973,64,[57]
39,0,ble,26,1.000,0,63,-1,-1.250,per_ce,"[0,9,18,27,36,8,17,26]",0,NA,NA,NA,NA,NA,3,8,10.000,4,5.000,true,NA,NA,NA,64,[]
40,0,wifi,5,1.000,0,63,6,7.500,per_ce,NA,0,18,32,40.000,8,10.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[6,7,8,9,10,11,12,13,38,39,40,41,42,43,44,45]"
41,0,ble,30,3.000,0,63,-1,-1.250,per_ce,"[0,5,10,15,20,25,30,35]",0,NA,NA,NA,NA,NA,3,8,10.000,4,5.000,true,NA,NA,NA,64,[]
42,0,ble,2,3.000,0,63,-1,-1.250,per_ce,"[2,3]",0,NA,NA,NA,NA,NA,14,32,40.000,6,7.500,true,NA,NA,NA,64,[]
43,0,ble,35,2.000,0,63,1,1.250,per_ce,[35],0,NA,NA,NA,NA,NA,10,64,80.000,6,7.500,true,17,1,1.000,64,"[1,2,3,4,5,6]"
44,0,ble,35,3.000,0,63,7,8.750,per_ce,[35],0,NA,NA,NA,NA,NA,54,64,80.000,4,5.000,true,17,1,1.000,64,"[7,8,9,10]"
45,0,ble,14,1.000,0,63,-1,-1.250,per_ce,"[0,9,18,27,36,8,17,26]",0,NA,NA,NA,NA,NA,2,8,10.000,2,2.500,true,NA,NA,NA,64,[]
46,0,wifi,5,1.000,0,63,27,33.750,per_ce,NA,0,24,32,40.000,6,7.500,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[0,27,28,29,30,31,32,59,60,61,62,63]"
47,0,wifi,0,3.000,0,63,5,6.250,per_ce,NA,0,14,32,40.000,7,8.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[5,6,7,8,9,10,11,37,38,39,40,41,42,43]"
48,0,ble,10,2.000,0,63,55,68.750,per_ce,[2],0,NA,NA,NA,NA,NA,48,64,80.000,6,7.500,true,37,1,1.000,64,"[55,56,57,58,59,60]"
